MonitoringLocationIdentifier,MLD,SSH,SSS^2,U,V,Rrs_412,Rrs_443,Rrs_488,Rrs_555,Rrs_667,SST,POC,KD490,ln_CHL,SST_x_cos_Longitude,SST_x_cos_Latitude,lg_DIN
572,8.117539222,0.335792082,-167.7667011,-0.006862818,0.095222879,0.00696166,0.008012903,0.01010433,0.013180178,0.00734684,30.05949997,377.6106133,0.442214432,1.7435519,-15.62544939,25.62170982,0.248708736
572,8.082917382,0.207345061,-161.6380881,0.0237275,0.085154335,0.011816327,0.014477445,0.018024085,0.021454373,0.009464511,21.18450855,327.6639859,0.237634646,1.215799659,-11.01207494,18.05696473,0.256958153
572,8.09125227,0.267058757,-156.8077318,0.002795393,0.103019204,0.009398299,0.011882352,0.015787806,0.019624363,0.008614898,20.5766407,379.7253432,0.313222973,1.456114139,-10.69609469,17.53883855,0.270911639
573,8.421600499,0.465575527,-118.724869,0.021523092,-0.122306118,0.012693096,0.015776481,0.019467352,0.023878446,0.015529753,21.22756814,359.3672616,0.295294339,1.418977378,-11.05027896,18.08203258,0.064083436
573,8.292796137,0.292611004,-214.184594,0.005224119,0.04338502,0.009048164,0.010805245,0.013757156,0.017856313,0.009216031,29.73176974,368.6309342,0.325425444,1.529200533,-15.47724862,25.32606775,0.116607744
573,8.281192141,0.327950974,-163.6917136,0.044394568,0.040050032,0.007726103,0.009483923,0.012331521,0.016347031,0.008421091,30.17506897,383.6090567,0.380507957,1.645731737,-15.70801363,25.70367818,0.120244796
573,8.266687145,0.229419123,-216.8389808,0.019926382,0.083994365,0.010218075,0.012849023,0.016651828,0.019863459,0.009134758,21.96710768,355.6371572,0.282792929,1.354814905,-11.43525562,18.71198594,0.19893187
573,8.827740379,0.587134347,-164.8939468,0.024340542,-0.151801155,0.014078575,0.01692538,0.020398334,0.024270325,0.016891742,21.8819577,323.3805444,0.244529024,1.248669552,-11.39092972,18.63945363,0.201397124
573,8.557947459,0.507182815,-138.1797236,0.040117335,-0.087403619,0.013860269,0.016684378,0.020580691,0.024614319,0.015949683,23.43989492,324.9714302,0.241071548,1.231548458,-12.20193363,19.96653318,0.205204364
573,8.294536737,0.332289708,-187.9543797,-0.005762544,0.106018749,0.006946653,0.008021539,0.010111664,0.013120066,0.007152757,29.95652021,374.4906314,0.440305957,1.735578614,-15.59424531,25.51751433,0.220631019
573,8.263786146,0.211008223,-199.7964652,0.009130024,0.064924358,0.012603467,0.016168139,0.01942602,0.021946574,0.010349754,19.85413691,293.9089894,0.207071416,1.053317554,-10.33532197,16.91211862,0.233757363
573,8.264946546,0.168470295,-180.661142,0.010668714,0.117490459,0.0084738,0.010867644,0.014195967,0.01766155,0.008292861,21.09572074,364.7718428,0.324018567,1.480636702,-10.98164413,17.96972254,0.237794993
574,8.147517617,0.305124982,-195.0416792,0.02776722,0.050024923,0.009116832,0.010010789,0.012259923,0.016190637,0.007537241,30.35809375,358.4436837,0.357629351,1.569818482,-15.82138153,25.8872981,0.040997692
574,8.308780203,0.556915401,-117.4796871,0.00170395,-0.040640482,0.011131111,0.013639367,0.017041139,0.021482956,0.013434678,26.16950614,364.7956302,0.308069871,1.446875169,-13.63846309,22.31555816,0.085647288
574,8.166013684,0.296106994,-222.7561996,0.004258719,0.036162122,0.009133259,0.010909562,0.013908933,0.018134641,0.009323475,29.75687246,370.0173387,0.328184509,1.535292234,-15.50804989,25.37461786,0.111262514
574,8.155609646,0.325297255,-180.1542733,0.044217159,0.03071503,0.007557193,0.009306643,0.012100262,0.016027093,0.00825104,30.15220324,381.6245257,0.376860028,1.640714467,-15.71407993,25.71172881,0.112605002
574,8.252135997,0.425444206,-101.7665242,0.012857078,-0.070876926,0.012438577,0.014864245,0.018022137,0.022657559,0.017308344,19.54994299,341.8443369,0.281058203,1.37873658,-10.18862085,16.67084917,0.144262774
574,8.151563632,0.280450074,-213.66097,0.052729973,0.124892376,0.009543316,0.011905855,0.014940373,0.019330655,0.010240818,30.71335308,361.2202393,0.312514371,1.475097717,-16.00652799,26.19023887,0.148602655
